,price,with_pool,nb_bedrooms,nb_bathrooms,nb_garages,nb_garden,nb_parking
319,6225000.0,0,8.0,7.0,4.0,1.0,1.0
1041,1580000.0,0,3.0,2.0,4.0,0.0,3.0
5426,799000.0,0,2.0,1.0,0.0,0.0,0.0
12047,4575000.0,0,3.0,2.0,4.0,1.0,1.0
15875,0.0,1,2.0,1.0,0.0,0.0,0.0
11237,750000.0,0,3.0,1.0,0.0,0.0,0.0
13124,1170000.0,0,2.0,2.0,0.0,0.0,0.0
11018,765000.0,0,2.0,1.0,0.0,0.0,1.0
14863,899999.0,1,3.0,1.0,1.0,1.0,1.0
8755,699000.0,0,3.0,1.0,0.0,0.0,0.0
6379,849000.0,0,3.0,2.0,2.0,1.0,1.0
11530,3100000.0,0,6.0,4.0,0.0,0.0,6.0
15812,1950000.0,1,2.0,2.0,4.0,0.0,0.0
4839,2750000.0,0,2.0,2.0,1.0,0.0,1.0
15167,1980000.0,0,3.0,2.0,0.0,0.0,1.0
5443,610000.0,0,2.0,1.0,0.0,1.0,1.0
11166,1950000.0,0,2.0,2.0,4.0,0.0,0.0
8417,840000.0,0,3.0,2.0,0.0,1.0,0.0
4290,2800000.0,1,3.0,3.0,4.0,0.0,0.0
14520,1195000.0,0,3.0,2.0,0.0,0.0,1.0
14424,2795000.0,0,1.0,1.0,0.0,0.0,1.0
15749,950000.0,0,2.0,1.0,0.0,1.0,1.0
14389,5200000.0,0,5.0,1.0,8.0,1.0,4.0
15905,1295000.0,0,4.0,3.0,0.0,1.0,4.0
12583,2350000.0,0,0.0,0.0,0.0,0.0,0.0
13383,2295000.0,0,0.0,0.0,0.0,0.0,0.0
3443,1025000.0,1,3.0,2.0,1.0,0.0,0.0
18811,1245000.0,1,1.0,1.0,1.0,0.0,0.0
874,1850000.0,1,3.0,1.0,0.0,0.0,0.0
14742,1800000.0,0,3.0,2.0,4.0,1.0,1.0
7584,8500000.0,1,9.0,12.0,0.0,0.0,1.0
254,750000.0,0,3.0,1.0,0.0,1.0,1.0
12890,850000.0,0,3.0,1.0,0.0,0.0,0.0
15126,2650000.0,0,4.0,3.0,4.0,1.0,2.0
7488,1820000.0,0,3.0,2.0,4.0,1.0,1.0
8070,2495000.0,0,3.0,2.0,1.0,1.0,1.0
19748,1350000.0,0,2.0,2.0,1.0,0.0,0.0
11910,645000.0,0,2.0,1.0,0.0,0.0,1.0
4649,1400000.0,0,3.0,1.0,1.0,1.0,1.0
4287,920000.0,0,3.0,1.0,4.0,1.0,0.0
4689,560000.0,0,2.0,1.0,0.0,0.0,1.0
3815,990000.0,0,3.0,1.0,6.0,0.0,0.0
10371,1500000.0,0,2.0,2.0,0.0,0.0,2.0
1827,1390000.0,0,3.0,2.0,4.0,1.0,1.0
12334,6500000.0,0,4.0,4.0,1.0,0.0,1.0
2465,3816000.0,1,5.0,4.0,6.0,1.0,0.0
13499,895000.0,1,2.0,2.0,1.0,1.0,1.0
11742,2699999.0,0,3.0,3.0,4.0,1.0,1.0
20374,770000.0,0,4.0,1.0,0.0,0.0,0.0
7038,1400000.0,0,3.0,2.0,4.0,1.0,1.0
7869,528000.0,0,2.0,1.0,0.0,0.0,0.0
9519,750000.0,0,2.0,1.0,0.0,0.0,1.0
11456,350000.0,0,3.0,1.0,0.0,1.0,1.0
19033,4299999.0,0,5.0,3.0,4.0,1.0,0.0
11374,1699000.0,0,3.0,2.0,0.0,0.0,2.0
19403,1350000.0,1,3.0,1.0,0.0,1.0,0.0
3845,1550000.0,0,2.0,2.0,0.0,0.0,1.0
5283,3925000.0,0,3.0,2.0,4.0,1.0,0.0
8514,1460000.0,1,2.0,1.0,0.0,0.0,0.0
19819,550000.0,0,0.0,0.0,0.0,0.0,0.0
3605,1295000.0,0,3.0,2.0,0.0,1.0,3.0
9584,2460000.0,0,3.0,2.0,0.0,0.0,1.0
3944,1050000.0,0,2.0,1.0,0.0,0.0,0.0
9649,650000.0,0,3.0,1.0,0.0,0.0,1.0
9699,799000.0,0,2.0,1.0,0.0,0.0,2.0
18119,3500000.0,0,3.0,3.0,4.0,0.0,0.0
12451,1295000.0,0,4.0,3.0,0.0,1.0,2.0
5701,950000.0,0,3.0,2.0,4.0,0.0,1.0
9311,4499000.0,0,5.0,5.0,6.0,1.0,1.0
13222,834000.0,0,0.0,0.0,0.0,0.0,0.0
1025,699000.0,0,3.0,1.0,0.0,0.0,0.0
394,799000.0,0,3.0,2.0,0.0,0.0,0.0
12724,795000.0,0,2.0,2.0,0.0,0.0,0.0
11805,2900000.0,0,5.0,1.0,6.0,1.0,1.0
17563,1299900.0,1,2.0,2.0,0.0,0.0,1.0
1123,1950000.0,0,3.0,4.0,0.0,0.0,1.0
9152,1350000.0,0,3.0,2.0,0.0,0.0,1.0
20323,2390000.0,1,3.0,2.0,0.0,0.0,1.0
4153,2780000.0,1,3.0,1.0,4.0,0.0,0.0
7401,1200000.0,0,4.0,4.0,4.0,0.0,0.0
15614,3390000.0,0,4.0,3.0,4.0,1.0,2.0
872,6100000.0,1,4.0,3.0,4.0,1.0,0.0
16097,699000.0,0,3.0,2.0,0.0,0.0,1.0
20196,555000.0,0,3.0,1.0,0.0,1.0,2.0
13249,3700000.0,0,11.0,8.0,0.0,0.0,1.0
15387,1440000.0,1,3.0,2.0,4.0,1.0,1.0
16998,680000.0,0,2.0,1.0,0.0,0.0,1.0
10503,2195000.0,0,3.0,3.0,2.0,1.0,0.0
5086,4795000.0,1,0.0,3.0,0.0,1.0,1.0
15798,1400000.0,0,3.0,1.0,0.0,1.0,0.0
2483,3850000.0,1,2.0,2.0,0.0,0.0,2.0
7940,695000.0,0,2.0,1.0,0.0,0.0,1.0
3497,880000.0,0,3.0,2.0,0.0,0.0,1.0
10758,14995000.0,0,3.0,1.0,4.0,1.0,0.0
11167,3395000.0,0,3.0,2.0,4.0,0.0,1.0
8932,1290000.0,0,3.0,2.0,0.0,1.0,2.0
11792,15995000.0,0,3.0,2.0,0.0,0.0,1.0
17989,1399000.0,0,3.0,1.0,6.0,0.0,0.0
17280,525000.0,0,3.0,2.0,0.0,0.0,1.0
16368,1395000.0,1,3.0,2.0,4.0,1.0,0.0
15081,780000.0,0,3.0,1.0,0.0,0.0,0.0
8831,799000.0,0,3.0,2.0,0.0,1.0,2.0
16984,3175990.0,0,3.0,2.0,0.0,0.0,1.0
15548,420000.0,0,2.0,2.0,0.0,0.0,1.0
20187,1295000.0,0,2.0,1.0,0.0,0.0,1.0
15666,8950000.0,0,4.0,3.0,4.0,1.0,2.0
11682,955000.0,0,3.0,2.0,0.0,0.0,2.0
19844,1100000.0,0,2.0,2.0,1.0,0.0,1.0
14309,650000.0,1,2.0,1.0,4.0,1.0,1.0
185,1395000.0,0,3.0,1.0,4.0,1.0,0.0
8127,6945000.0,1,5.0,5.0,8.0,1.0,0.0
2677,780000.0,0,3.0,1.0,0.0,1.0,0.0
14738,1100000.0,0,2.0,1.0,1.0,1.0,1.0
7020,2649000.0,0,3.0,2.0,2.0,1.0,0.0
19524,1490000.0,1,3.0,2.0,0.0,0.0,1.0
20649,975000.0,0,1.0,2.0,0.0,1.0,1.0
9125,1625000.0,0,2.0,1.0,0.0,0.0,0.0
18139,1200000.0,0,3.0,2.0,6.0,0.0,0.0
13603,600000.0,0,3.0,1.0,1.0,1.0,0.0
3374,2790000.0,1,3.0,2.0,0.0,1.0,1.0
15677,1150000.0,0,2.0,1.0,0.0,0.0,1.0
3492,595000.0,0,2.0,1.0,0.0,0.0,1.0
20610,3650000.0,0,3.0,1.0,4.0,1.0,0.0
18371,195000.0,0,2.0,1.0,0.0,0.0,0.0
15736,1150000.0,0,3.0,2.0,4.0,1.0,0.0
17538,2795000.0,1,3.0,3.0,0.0,1.0,1.0
19645,764900.0,0,2.0,1.0,0.0,0.0,1.0
15508,1071950.0,0,3.0,2.0,0.0,0.0,0.0
7737,750000.0,0,3.0,2.0,0.0,0.0,1.0
3216,4495000.0,1,4.0,3.0,4.0,0.0,0.0
